Opening Parquet file...
Creating Parquet reader for file ../testdata/testdata.parquet
Number of rows: 178339

Reading batches and converting to BundleRow...
Setting offset to 1583244880844366 => 1583244880.844366s (scale: 10x)
Stats: (bundle rate: 1673/sec  queue size: 8567)
Stats: (bundle rate: 3223/sec  queue size: 8416)
Stats: (bundle rate: 3901/sec  queue size: 8611)
Stats: (bundle rate: 2049/sec  queue size: 8610)
Stats: (bundle rate: 1964/sec  queue size: 8694)
Stats: (bundle rate: 4053/sec  queue size: 8737)
Stats: (bundle rate: 2184/sec  queue size: 8601)
Stats: (bundle rate: 2374/sec  queue size: 8275)
Stats: (bundle rate: 5837/sec  queue size: 8582)
Stats: (bundle rate: 2987/sec  queue size: 8667)
Stats: (bundle rate: 2393/sec  queue size: 8322)
Stats: (bundle rate: 2748/sec  queue size: 8646)
Stats: (bundle rate: 2248/sec  queue size: 8446)
Stats: (bundle rate: 2863/sec  queue size: 8655)
Stats: (bundle rate: 2114/sec  queue size: 8589)
Stats: (bundle rate: 2923/sec  queue size: 8738)
Stats: (bundle rate: 3140/sec  queue size: 8670)
Stats: (bundle rate: 2356/sec  queue size: 8362)
Stats: (bundle rate: 1882/sec  queue size: 8528)
Stats: (bundle rate: 5211/sec  queue size: 8437)
Stats: (bundle rate: 3391/sec  queue size: 9142)
Stats: (bundle rate: 4934/sec  queue size: 8304)
Stats: (bundle rate: 2319/sec  queue size: 9057)
Stats: (bundle rate: 3085/sec  queue size: 9044)
Stats: (bundle rate: 2508/sec  queue size: 8584)
Stats: (bundle rate: 3007/sec  queue size: 8649)
Stats: (bundle rate: 3212/sec  queue size: 8509)
Stats: (bundle rate: 3516/sec  queue size: 9089)
Stats: (bundle rate: 3439/sec  queue size: 8722)
Stats: (bundle rate: 2742/sec  queue size: 8235)
Stats: (bundle rate: 5799/sec  queue size: 8580)
Stats: (bundle rate: 2686/sec  queue size: 8966)
Stats: (bundle rate: 3587/sec  queue size: 8451)
Stats: (bundle rate: 2020/sec  queue size: 8479)
Stats: (bundle rate: 3210/sec  queue size: 8341)
Stats: (bundle rate: 3064/sec  queue size: 8349)
Stats: (bundle rate: 3674/sec  queue size: 8771)
Stats: (bundle rate: 3150/sec  queue size: 8693)
Stats: (bundle rate: 3109/sec  queue size: 8656)
Stats: (bundle rate: 2536/sec  queue size: 9192)
Stats: (bundle rate: 2254/sec  queue size: 8986)
Stats: (bundle rate: 3040/sec  queue size: 9018)
Stats: (bundle rate: 2684/sec  queue size: 8382)
Stats: (bundle rate: 3648/sec  queue size: 8830)
Stats: (bundle rate: 2053/sec  queue size: 8825)
Stats: (bundle rate: 3408/sec  queue size: 8489)
Stats: (bundle rate: 4788/sec  queue size: 8821)
Stats: (bundle rate: 3026/sec  queue size: 8867)
Stats: (bundle rate: 2019/sec  queue size: 8896)
Stats: (bundle rate: 2437/sec  queue size: 8507)
Stats: (bundle rate: 2235/sec  queue size: 8320)
Stats: (bundle rate: 1920/sec  queue size: 8448)
Stats: (bundle rate: 3325/sec  queue size: 8195)
Stats: (bundle rate: 2187/sec  queue size: 9080)
Stats: (bundle rate: 2066/sec  queue size: 9062)
Stats: (bundle rate: 3238/sec  queue size: 8896)
Stats: (bundle rate: 3243/sec  queue size: 7657)
Stats: (bundle rate: 3024/sec  queue size: 4633)
Stats: (bundle rate: 2242/sec  queue size: 2391)
Stats: (bundle rate: 2189/sec  queue size: 202)
